Date,Open,High,Low,Close,Volume
13-Dec-00,10778.00,11002.20,10653.80,10794.40,11951000
12-Dec-00,10722.80,10968.80,10582.10,10768.30,10834000
11-Dec-00,10719.40,10931.30,10521.00,10725.80,12024000
8-Dec-00,10632.10,10896.80,10534.70,10712.90,13583000
7-Dec-00,10644.70,10791.40,10449.00,10617.40,11280000
6-Dec-00,10896.10,10995.40,10513.80,10664.40,13993000
5-Dec-00,10576.80,11044.70,10504.40,10898.70,9003000
4-Dec-00,10377.30,10701.40,10227.20,10561.00,11030000
1-Dec-00,10416.80,10645.40,10238.50,10373.50,11952000
30-Nov-00,10610.50,10690.20,10204.80,10414.50,11865300
29-Nov-00,10502.70,10746.70,10383.00,10629.10,4021000
28-Nov-00,10537.90,10730.40,10356.50,10507.60,10282000
27-Nov-00,10479.30,10758.00,10411.10,10546.10,9461000
24-Nov-00,10403.90,10596.50,10354.20,10470.20,4048700
22-Nov-00,10484.30,10589.70,10251.10,10399.30,9632000
21-Nov-00,10465.60,10676.10,10303.40,10494.50,11371000
20-Nov-00,10624.20,10707.20,10331.50,10462.70,9558000
17-Nov-00,10657.10,10824.80,10462.60,10629.90,10704000
16-Nov-00,10705.30,10857.40,10536.30,10656.00,9563000
15-Nov-00,10681.20,10863.80,10544.20,10707.60,10668000
14-Nov-00,10528.30,10809.60,10484.60,10681.10,11188000
13-Nov-00,10595.40,10701.50,10273.20,10517.30,11293000
10-Nov-00,10813.80,10886.20,10497.50,10603.00,9625000
9-Nov-00,10902.10,10989.30,10576.40,10834.30,11110000
8-Nov-00,10954.30,11152.00,10779.30,10907.10,9093000
7-Nov-00,10978.70,11105.80,10825.20,10952.20,8809000
6-Nov-00,10820.60,11092.10,10741.70,10977.20,9309000
3-Nov-00,10883.20,10996.20,10650.70,10818.00,9977000
2-Nov-00,10903.20,11071.10,10731.50,10880.50,11677000
1-Nov-00,10966.20,11103.10,10736.40,10899.50,12068000
31-Oct-00,10835.40,11108.80,10681.10,10971.10,13664000
30-Oct-00,10588.10,10945.00,10506.30,10835.80,11865000
27-Oct-00,10381.60,10696.40,10296.70,10590.60,10863000
26-Oct-00,10330.20,10563.30,10128.20,10380.10,13038000
25-Oct-00,10395.70,10564.00,10170.10,10326.50,13156000
24-Oct-00,10273.60,10584.00,10136.70,10393.10,11586000
23-Oct-00,10230.30,10496.30,10078.20,10271.70,10468000
20-Oct-00,10141.10,10406.80,9925.80,10226.60,11774000
19-Oct-00,10014.60,10317.20,9901.80,10143.00,12979000
18-Oct-00,10086.00,10171.50,9571.40,9975.00,14417000
17-Oct-00,10242.90,10402.30,9924.30,10089.70,11615000
16-Oct-00,10184.80,10429.00,10033.80,10238.80,10054000
13-Oct-00,10031.60,10325.40,9883.30,10192.20,12239000
12-Oct-00,10424.10,10462.30,9873.70,10034.60,13886000
11-Oct-00,10521.10,10647.20,10228.40,10413.80,13875000
10-Oct-00,10569.20,10744.50,10377.20,10524.40,10440000
9-Oct-00,10596.90,10762.10,10438.90,10568.40,7166000
6-Oct-00,10726.80,10871.40,10440.10,10596.50,11501000
5-Oct-00,10783.70,10940.20,10570.30,10724.90,11761000
4-Oct-00,10723.30,10972.40,10596.50,10784.50,11674000
3-Oct-00,10709.80,10976.10,10561.00,10719.70,10981000
2-Oct-00,10659.10,10876.20,10479.30,10700.10,10512000
29-Sep-00,10821.40,10923.20,10552.20,10650.90,11971000
28-Sep-00,10629.80,10948.00,10539.50,10824.10,12062000
27-Sep-00,10634.50,10821.10,10439.30,10628.40,11747000
26-Sep-00,10806.30,10915.40,10499.60,10631.30,11066000
25-Sep-00,10847.40,11039.50,10664.20,10808.20,9824000
22-Sep-00,10678.30,10936.50,10505.20,10847.40,11855000
21-Sep-00,10680.50,10902.10,10548.10,10765.50,11054000
20-Sep-00,10794.50,10906.90,10500.40,10687.90,11040000
19-Sep-00,10812.20,10961.00,10645.40,10789.30,10249000
18-Sep-00,10926.40,11053.80,10693.80,10808.50,9625000
15-Sep-00,11087.80,11203.30,10857.70,10927.00,12684000
14-Sep-00,11189.60,11285.40,10986.50,11087.50,10140000
13-Sep-00,11225.00,11350.90,11020.10,11182.20,10683000
12-Sep-00,11197.70,11352.00,11015.70,11233.20,9912000
11-Sep-00,11219.50,11367.20,11043.10,11195.50,8993000
8-Sep-00,11261.70,11382.00,11059.70,11220.70,9610000
7-Sep-00,11316.00,11444.80,11124.80,11259.90,9855000
6-Sep-00,11253.60,11518.80,11186.30,11310.60,9951000
5-Sep-00,11221.80,11382.70,11094.50,11260.60,8385000
1-Sep-00,11219.50,11406.70,11130.00,11238.80,7677000
31-Aug-00,11105.20,11416.00,11040.90,11215.10,10566000
30-Aug-00,11209.00,11282.10,11034.60,11103.00,8184000
29-Aug-00,11249.30,11356.40,11100.80,11215.10,7956000
28-Aug-00,11194.50,11410.40,11123.40,11252.80,7336000
25-Aug-00,11180.50,11301.40,11073.60,11192.60,6856000
24-Aug-00,11143.90,11302.50,11009.10,11182.70,8371000
23-Aug-00,11130.60,11253.10,10990.40,11144.70,8710000
22-Aug-00,11082.20,11274.70,11000.30,11139.20,8188000
21-Aug-00,11058.90,11193.70,10945.40,11079.80,7316000
18-Aug-00,11051.20,11180.50,10933.30,11046.50,8214000
17-Aug-00,11011.00,11180.90,10899.20,11055.60,9224000
16-Aug-00,11068.80,11171.00,10888.60,11008.40,9298000
15-Aug-00,11175.10,11227.10,10965.50,11067.00,8959000
14-Aug-00,11027.10,11232.90,10928.90,11176.10,7838000
11-Aug-00,10906.00,11131.80,10841.40,11027.80,8355000
10-Aug-00,10901.10,11069.90,10779.50,10908.80,9408000
9-Aug-00,10970.90,11097.00,10780.00,10905.80,10540000
8-Aug-00,10865.20,11083.10,10741.40,10976.90,9922000
7-Aug-00,10774.00,10973.20,10657.50,10867.00,8548000
4-Aug-00,10713.40,10874.00,10555.70,10767.80,9560000
3-Aug-00,10679.40,10844.30,10518.70,10706.60,10956000
2-Aug-00,10609.20,10818.70,10514.30,10687.50,9863000
1-Aug-00,10523.80,10728.90,10428.60,10607.00,9387000
31-Jul-00,10514.30,10727.10,10374.00,10522.00,9526000
28-Jul-00,10595.00,10732.10,10367.30,10511.20,9800000
27-Jul-00,10516.80,10745.90,10450.00,10586.10,11564000
26-Jul-00,10689.40,10790.10,10447.20,10516.50,12358000
25-Jul-00,10689.30,10867.20,10557.50,10700.00,9694000
24-Jul-00,10731.40,10895.80,10545.50,10685.10,8803000
21-Jul-00,10843.50,10949.60,10614.10,10733.60,9683000
20-Jul-00,10700.70,10980.30,10671.30,10843.90,10646000
